id,short_code,img_type,is_video,height,width,owner_name,img_description,comments,likes,comments_disabled,taken_at_timestamp,city_hashtag,rate,class,translated,true_location
1000014729143874290,3gxBkMx3Ly,GraphImage,0,640,640,2344571.0,"I have always been fascinated by aqueducts. It's not often we get to see ancient aqueducts, especially when you live in the U.S.  So, this was high on my list of #placestovisit in #Israel - aqueducts of Caesarea built by King Herod in 37 BCE. I can't even explain the feeling of standing among history. #travel #traveling #familytravel #visitIsrael #caesarea #tmom #luxurytravel #religioustravel #vzwbuzz #unlimitedisrael",10,43,0,"2015-06-04 18:17:00",caesarea,0.988728404,1,"I have always been falsified by aqueducts. It's not often we get to see ancient aqueducts, especially when you live in the U.S. So, this was high on my list of #placestovisit in #Israel - amazings of the city built by King Hero in 37 #Israel.",NULL
1000063154662234941,3g8CP-mVs9,GraphImage,0,640,640,174896621.0,"#Israel #israel_only #israel_only_ #Instagram_Israel_ #Instagram_Israel #photooftheday #Caesarea #sunset #sealife #sea #sky #nature #landscape #light #sea_landscape #summer #evening #roof_view #view #plane #aircraft",1,37,0,"2015-06-04 19:53:00",caesarea,0.999999225139618,1,"#Israel #Israel_only #Israel_only_ #Instagram_Israel_Israel_Israel #Photooftheday #Caesarea #sunset #sealife #sea #sky #naturelandscape #light #sea_landscape #summer #evening #roof_view #plan #eaircraft",NULL
1000395269837309480,3iHjKVokYo,GraphImage,0,640,640,1354682192.0,"Room with a view #tiberias #seaofgalilee #birthright",0,22,0,"2015-06-05 06:53:00",tiberias,1,1,"Room with a view #tiberias #seaofgalilee #birthright",NULL
1000488847437555507,3ic05RQWcz,GraphImage,0,640,640,3709184.0,"메마른 땅에 피어나는 생명력.. You can live even in a dry land because of HIM. #life #Israel #Tiberias #praywalk #땅밟기 #이스라엘 #디베랴 #생명",0,11,0,"2015-06-05 09:59:00",tiberias,0.9998781085014344,1,"You can live even in a dry land because of HIM. #life #Israel #Tiberias #praywalk ###",NULL
1000547594626750486,3iqLx2mVgW,GraphImage,0,640,640,174896621.0,"#Israel #israel_only #israel_only_ #Instagram_Israel_ #Instagram_Israel #photooftheday #Caesarea #nature #sea #sealife #sea_shore #shore #sky #old_port #fishermen #fishing #stackables #summer #sea_landscape #landscape #light",2,41,0,"2015-06-05 11:56:00",caesarea,0.9998952150344848,1,"#Israel #Israel_only #Israel_only_#Instagram_Israel_Israel_Israel #Photooftheday #Caesarea #Nature #sealife #sea_shore #shoe #sky #old_port #fishermen #fishing #stackables #summer #sea_landscape #scape #light",NULL
1000653514276070618,3jCRHNq-Ta,GraphImage,0,640,640,30772808.0,"Some people say the apple doesn't fall far from the tree and in this case it obviously is true. It's such a treat to be guided around Israel by Daddy Sasson who was born in Cairo, Egypt and moved to Israel as a refugee at the age of seven. #Israel #Caesarea",2,37,0,"2015-06-05 15:26:00",caesarea,0.9999980926513672,1,"Some people say the apple doesn't fall far from the tree and in this case it is absurdly true. It's such a treat to be aided around Israel by Daddy Sasson who was born in Cairo, Egypt and moved to Israel as a refugee at the age of seven #I.",NULL
1000782813082507701,3jfqqHGVm1,GraphImage,0,640,640,174896621.0,"#Israel #israel_only #israel_only_ #Instagram_Israel_ #Instagram_Israel #Caesarea #photooftheday #sunset #sea #sky #summer #sealife #nature #landscape #light #sea_landscape #evening #roof_view #view #beauty",0,47,0,"2015-06-05 19:43:00",caesarea,0.9998190999031068,1,"#Israel #Israel_only #Israel_only_ #Instagram_Israel_Israel_Israel #Caesarea #photooftheday #sunset #sea #sky #summer #sealife #nature #landscape #light_sea_landscape #evening #roof_view #beauty",NULL
1000852643185454065,3jvi0dlGvx,GraphImage,0,640,640,3456305.0,"Once a hospital, now a hotel.",1,31,0,"2015-06-05 22:02:00",tiberias,0.999928892,1,"Once a hostel, now a hotel.",NULL
1001198482752101305,3k-LcqGVu5,GraphImage,0,640,640,174896621.0,"#Israel #Caesarea #israel_only_ #Instagram_Israel_ #instacool #instagood #instalike #instadaily #iphoneonly #photooftheday #picoftheday #sea #sky #nature #landscape #look #summer #sealife #sea_shore #shore #beach",2,32,0,"2015-06-06 09:29:00",caesarea,0.9995638132095336,1,"#Israel #Caesarea #Israel_only_ #Instagram_Israel_ #Instacool #Instagood #Instadaily #iphoneonly #photooftheday #sea #sky #nature #landscape #look #summer #sealife #shore #beach",NULL
1001347174535206132,3lf_MrAxT0,GraphImage,0,640,640,404190196.0,"Had a great time exploring the ruins of #Caesarea today. #ruins #history #rocks",0,36,0,"2015-06-06 14:25:00",caesarea,1,1,"Had a great time exploring the ruins of #Caesarea Today. #ruins #history #rocks",NULL
1001348947086377763,3lgY_fS4Mj,GraphImage,0,640,640,293474831.0,"#caesarea #israel #beach #port",0,26,0,"2015-06-06 14:28:00",caesarea,1,1,"#caesarea #israel #beach #port",NULL
1001463136136914764,3l6WqVFudM,GraphImage,0,640,640,25686464.0,"#caesarea  a beautiful state park with roman ruins on the water about an hour north of tel aviv - with a fantastic restaurant #Helena as well- #helena don't miss it if you travel to #Israel",1,16,0,"2015-06-06 18:15:00",caesarea,0.9842832684516908,1,"#Caesarea A Beautiful State Park With Roman Ruins On The Water About An Hour North Of Tel Aviv - With A Fantastic Restaurant #Helena As Well- #Helena Don't Miss It If You Travel To #Israel",NULL
